,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
35,36,ANTM,Aneka Tambang Tbk.,1997-11-27 00:00:00,24030764725,Utama,Aneka Tambang Tbk. (ANTM)
36,37,APEX,Apexindo Pratama Duta Tbk.,2013-06-05 00:00:00,2659850000,Pengembangan,Apexindo Pratama Duta Tbk. (APEX)
37,38,APIC,Pacific Strategic Financial Tb,18 Des 2002,11766313488,Pengembangan,Pacific Strategic Financial Tb (APIC)
38,39,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1075760000,Pengembangan,Arita Prima Indonesia Tbk. (APII)
39,40,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1362671400,Utama,Asiaplast Industries Tbk. (APLI)
40,41,APLN,Agung Podomoro Land Tbk.,2010-11-11 00:00:00,22699326779,Utama,Agung Podomoro Land Tbk. (APLN)
41,42,ARCI,Archi Indonesia Tbk.,2021-06-28 00:00:00,24835000000,Utama,Archi Indonesia Tbk. (ARCI)
42,43,ARGO,Argo Pantes Tbk,1991-01-07 00:00:00,335557450,Pengembangan,Argo Pantes Tbk (ARGO)
43,44,ARII,Atlas Resources Tbk.,2011-11-08 00:00:00,3131000000,Pengembangan,Atlas Resources Tbk. (ARII)
44,45,ARKA,Arkha Jayanti Persada Tbk.,2019-07-10 00:00:00,2000000000,Pengembangan,Arkha Jayanti Persada Tbk. (ARKA)
45,46,ARMY,Armidian Karyatama Tbk.,2017-06-21 00:00:00,9006250000,Pengembangan,Armidian Karyatama Tbk. (ARMY)
46,47,ARNA,Arwana Citramulia Tbk.,2001-07-17 00:00:00,7341430976,UTAMA,Arwana Citramulia Tbk. (ARNA)
47,48,ARTA,Arthavest Tbk,2002-11-05 00:00:00,446674175,PENGEMBANGAN,Arthavest Tbk (ARTA)
48,49,ARTI,Ratu Prabu Energi Tbk,2003-04-30 00:00:00,7840000000,Utama,Ratu Prabu Energi Tbk (ARTI)
49,50,ARTO,Bank Jago Tbk.,2016-01-12 00:00:00,13717687500,Pengembangan,Bank Jago Tbk. (ARTO)
50,51,ASBI,Asuransi Bintang Tbk.,1989-11-29 00:00:00,348386472,Pengembangan,Asuransi Bintang Tbk. (ASBI)
51,52,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,192000000,Utama,Asuransi Dayin Mitra Tbk. (ASDM)
52,53,ASGR,Astra Graphia Tbk.,1989-11-15 00:00:00,1348780500,Utama,Astra Graphia Tbk. (ASGR)
53,54,ASII,Astra International Tbk.,1990-04-04 00:00:00,40483553140,Utama,Astra International Tbk. (ASII)
54,55,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1288890696,Pengembangan,Asuransi Jasa Tania Tbk. (ASJT)
55,56,ASMI,Asuransi Maximus Graha Persada,2014-01-16 00:00:00,8958380460,Utama,Asuransi Maximus Graha Persada (ASMI)
56,57,ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17 00:00:00,681794825,Pengembangan,Andalan Sakti Primaindo Tbk. (ASPI)
57,58,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19649411888,Utama,Alam Sutera Realty Tbk. (ASRI)
58,59,ASRM,Asuransi Ramayana Tbk.,1990-03-19 00:00:00,304283840,PENGEMBANGAN,Asuransi Ramayana Tbk. (ASRM)
59,60,ASSA,Adi Sarana Armada Tbk.,2012-11-12 00:00:00,3561722712,Utama,Adi Sarana Armada Tbk. (ASSA)
60,61,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1250000000,Pengembangan,Trimitra Prawara Goldland Tbk. (ATAP)
61,62,ATIC,Anabatic Technologies Tbk.,2015-07-08 00:00:00,2315361355,Utama,Anabatic Technologies Tbk. (ATIC)
62,63,AUTO,Astra Otoparts Tbk.,1998-06-15 00:00:00,4819733000,UTAMA,Astra Otoparts Tbk. (AUTO)
63,64,AVIA,Avia Avian Tbk.,08 Des 2021,61953555600,Utama,Avia Avian Tbk. (AVIA)
64,65,AYLS,Agro Yasa Lestari Tbk.,2020-02-12 00:00:00,853423236,PENGEMBANGAN,Agro Yasa Lestari Tbk. (AYLS)
65,66,BABP,Bank MNC Internasional Tbk.,2002-07-15 00:00:00,29117426984,Pengembangan,Bank MNC Internasional Tbk. (BABP)
66,67,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,7007631739,Pengembangan,Bank Capital Indonesia Tbk. (BACA)
67,68,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1800000000,Pengembangan,Saranacentral Bajatama Tbk. (BAJA)
68,69,BALI,Bali Towerindo Sentra Tbk.,2014-03-13 00:00:00,3934592500,Utama,Bali Towerindo Sentra Tbk. (BALI)
69,70,BANK,Bank Aladin Syariah Tbk.,2021-02-01 00:00:00,13109553746,Pengembangan,Bank Aladin Syariah Tbk. (BANK)
70,71,BAPA,Bekasi Asri Pemula Tbk.,2008-01-14 00:00:00,661784520,Utama,Bekasi Asri Pemula Tbk. (BAPA)
71,72,BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16 00:00:00,5591751786,Pengembangan,Bhakti Agung Propertindo Tbk. (BAPI)
72,73,BATA,Sepatu Bata Tbk.,1982-03-24 00:00:00,1300000000,Utama,Sepatu Bata Tbk. (BATA)
73,74,BAYU,Bayu Buana Tbk,30 Okt 1989,353220780,PENGEMBANGAN,Bayu Buana Tbk (BAYU)
74,75,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122042299500,Utama,Bank Central Asia Tbk. (BBCA)
75,76,BBHI,Allo Bank Indonesia Tbk.,12 Ags 2015,11566104235,Pengembangan,Allo Bank Indonesia Tbk. (BBHI)
76,77,BBKP,Bank KB Bukopin Tbk.,2006-07-10 00:00:00,67019885160,Utama,Bank KB Bukopin Tbk. (BBKP)
77,78,BBLD,Buana Finance Tbk.,07 Mei 1990,1645796054,Pengembangan,Buana Finance Tbk. (BBLD)
78,79,BBMD,Bank Mestika Dharma Tbk.,2013-07-08 00:00:00,4049189100,Utama,Bank Mestika Dharma Tbk. (BBMD)
79,80,BBNI,Bank Negara Indonesia (Persero,1996-11-25 00:00:00,18462169893,Utama,Bank Negara Indonesia (Persero (BBNI)
80,81,BBRI,Bank Rakyat Indonesia (Persero,2003-11-10 00:00:00,150043411587,Utama,Bank Rakyat Indonesia (Persero (BBRI)
