Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,755.0,775.0,755.0,775.0,718.9050903320312,490600
2021-01-05,785.0,785.0,765.0,770.0,714.2669677734375,62300
2021-01-06,780.0,780.0,760.0,760.0,704.9907836914062,80400
2021-01-07,760.0,780.0,760.0,770.0,714.2669677734375,398800
2021-01-08,785.0,785.0,765.0,775.0,718.9050903320312,153100
2021-01-11,775.0,795.0,775.0,780.0,723.5431518554688,220200
2021-01-12,780.0,805.0,775.0,795.0,737.4574584960938,89000
2021-01-13,795.0,810.0,790.0,795.0,737.4574584960938,239400
2021-01-14,795.0,805.0,795.0,800.0,742.0955810546875,269600
2021-01-15,800.0,825.0,785.0,800.0,742.0955810546875,193600
2021-01-18,800.0,805.0,790.0,795.0,737.4574584960938,99200
2021-01-19,795.0,795.0,790.0,795.0,737.4574584960938,105300
2021-01-20,795.0,800.0,790.0,800.0,742.0955810546875,51500
2021-01-21,800.0,845.0,795.0,805.0,746.733642578125,238500
2021-01-22,810.0,810.0,790.0,790.0,732.8193969726562,207100
2021-01-25,790.0,815.0,785.0,790.0,732.8193969726562,50900
2021-01-26,785.0,800.0,755.0,765.0,709.62890625,155000
2021-01-27,775.0,775.0,745.0,750.0,695.714599609375,235900
2021-01-28,755.0,770.0,730.0,745.0,691.0764770507812,185200
2021-01-29,745.0,755.0,730.0,740.0,686.4384155273438,115400
2021-02-01,740.0,775.0,725.0,775.0,718.9050903320312,180500
2021-02-02,775.0,785.0,740.0,775.0,718.9050903320312,460200
2021-02-03,775.0,795.0,765.0,775.0,718.9050903320312,153500
2021-02-04,775.0,795.0,760.0,785.0,728.1812744140625,329600
2021-02-05,790.0,790.0,785.0,790.0,732.8193969726562,30900
2021-02-08,795.0,795.0,780.0,790.0,732.8193969726562,87200
2021-02-09,790.0,790.0,780.0,785.0,728.1812744140625,111100
2021-02-10,790.0,790.0,750.0,775.0,718.9050903320312,167300
2021-02-11,775.0,775.0,765.0,775.0,718.9050903320312,59500
2021-02-15,775.0,790.0,770.0,780.0,723.5431518554688,59800
2021-02-16,780.0,790.0,780.0,780.0,723.5431518554688,67000
2021-02-17,785.0,900.0,775.0,785.0,728.1812744140625,164500
2021-02-18,785.0,800.0,780.0,795.0,737.4574584960938,58600
2021-02-19,795.0,810.0,795.0,800.0,742.0955810546875,218600
2021-02-22,800.0,850.0,800.0,825.0,765.2860717773438,421900
2021-02-23,830.0,850.0,825.0,850.0,788.4765625,278700
2021-02-24,850.0,850.0,800.0,845.0,783.8384399414062,126400
2021-02-25,845.0,870.0,845.0,850.0,788.4765625,73300
2021-02-26,850.0,850.0,805.0,835.0,774.562255859375,49000
2021-03-01,830.0,850.0,815.0,835.0,774.562255859375,79900
2021-03-02,835.0,850.0,825.0,840.0,779.2003173828125,109900
2021-03-03,840.0,845.0,835.0,840.0,779.2003173828125,24900
2021-03-04,840.0,845.0,830.0,840.0,779.2003173828125,22200
2021-03-05,840.0,840.0,820.0,830.0,769.9241333007812,27800
2021-03-08,830.0,840.0,825.0,825.0,765.2860717773438,8500
2021-03-09,825.0,835.0,815.0,825.0,765.2860717773438,44800
2021-03-10,825.0,835.0,825.0,830.0,769.9241333007812,28200
2021-03-12,830.0,880.0,825.0,880.0,816.3051147460938,394300
2021-03-15,885.0,890.0,850.0,875.0,811.6670532226562,54300
2021-03-16,875.0,880.0,865.0,865.0,802.3908081054688,21500
2021-03-17,865.0,885.0,860.0,870.0,807.0289306640625,29600
2021-03-18,870.0,880.0,870.0,870.0,807.0289306640625,17200
2021-03-19,875.0,875.0,855.0,870.0,807.0289306640625,22200
2021-03-22,865.0,890.0,865.0,880.0,816.3051147460938,28400
2021-03-23,880.0,880.0,855.0,865.0,802.3908081054688,78500
2021-03-24,865.0,875.0,850.0,855.0,793.1146240234375,22900
2021-03-25,860.0,860.0,830.0,840.0,779.2003173828125,87200
2021-03-26,840.0,840.0,830.0,835.0,774.562255859375,47800
