Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,5600.0,5675.0,5600.0,5675.0,5675.0,200
2021-12-02,5675.0,5675.0,5675.0,5675.0,5675.0,0
2021-12-06,5800.0,5800.0,5800.0,5800.0,5800.0,100
2021-12-07,5800.0,5800.0,5800.0,5800.0,5800.0,0
2021-12-08,5750.0,5750.0,5750.0,5750.0,5750.0,400
2021-12-09,5750.0,5750.0,5750.0,5750.0,5750.0,0
2021-12-13,5450.0,5450.0,5450.0,5450.0,5450.0,100
2021-12-16,5550.0,5550.0,5550.0,5550.0,5550.0,100
2021-12-17,5550.0,5550.0,5550.0,5550.0,5550.0,0
2021-12-28,5600.0,5750.0,5600.0,5750.0,5750.0,400
2021-12-29,5400.0,6175.0,5400.0,6175.0,6175.0,1300
2021-12-30,6050.0,6050.0,6050.0,6050.0,6050.0,100
2022-01-03,5900.0,5900.0,5900.0,5900.0,5900.0,200
2022-01-04,5900.0,5900.0,5900.0,5900.0,5900.0,0
2022-01-05,5900.0,5900.0,5900.0,5900.0,5900.0,300
2022-01-06,5875.0,5875.0,5875.0,5875.0,5875.0,400
2022-01-07,5850.0,5875.0,5475.0,5875.0,5875.0,1100
